epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0    , lr/pg1    , lr/pg2
   34,  559.077 ,        0.95963,        0.98394,        1.29392,              0.73581,           0.67176,          0.74855,             0.52878,      1.05911,      1.0211 ,      1.52399, 0.006733  , 0.006733  , 0.006733
   35,  574.577 ,        0.94819,        0.96182,        1.29143,              0.73225,           0.75329,          0.81093,             0.57896,      1.03194,      0.83957,      1.43   , 0.006634  , 0.006634  , 0.006634
   36,  590.18  ,        0.9525 ,        0.95212,        1.28318,              0.608  ,           0.75885,          0.72669,             0.52167,      1.05286,      1.14437,      1.49828, 0.006535  , 0.006535  , 0.006535
   37,  605.638 ,        0.94132,        0.96016,        1.28007,              0.63139,           0.76083,          0.7689 ,             0.53004,      1.08176,      1.03555,      1.47386, 0.006436  , 0.006436  , 0.006436
   38,  621.394 ,        0.92866,        0.91549,        1.27201,              0.72703,           0.75906,          0.81515,             0.60227,      0.92418,      0.78722,      1.35651, 0.006337  , 0.006337  , 0.006337
   39,  636.797 ,        0.92545,        0.93255,        1.27139,              0.71084,           0.76701,          0.81355,             0.572  ,      1.02204,      0.82311,      1.49153, 0.006238  , 0.006238  , 0.006238
   40,  655.763 ,        0.93945,        0.8896 ,        1.26163,              0.7044 ,           0.78692,          0.79626,             0.56284,      1.1059 ,      0.97661,      1.51698, 0.006139  , 0.006139  , 0.006139
   41,  671.7   ,        0.92088,        0.91033,        1.26049,              0.68696,           0.81222,          0.8022 ,             0.55165,      1.08817,      0.8523 ,      1.52976, 0.00604   , 0.00604   , 0.00604
   42,  687.194 ,        0.92348,        0.89452,        1.25777,              0.75213,           0.70582,          0.79201,             0.5753 ,      0.9978 ,      0.88526,      1.41117, 0.005941  , 0.005941  , 0.005941
   43,  702.791 ,        0.91143,        0.89112,        1.25169,              0.63575,           0.75446,          0.74288,             0.53553,      1.00446,      1.11047,      1.40963, 0.005842  , 0.005842  , 0.005842
   44,  718.512 ,        0.89868,        0.89015,        1.24992,              0.72394,           0.78522,          0.79995,             0.59175,      0.91857,      0.82771,      1.37453, 0.005743  , 0.005743  , 0.005743
   45,  734.287 ,        0.89913,        0.86163,        1.2588 ,              0.64684,           0.81084,          0.76595,             0.55337,      0.99137,      0.92324,      1.39262, 0.005644  , 0.005644  , 0.005644
   46,  749.774 ,        0.89282,        0.83536,        1.24752,              0.7477 ,           0.76952,          0.80532,             0.55919,      1.10704,      0.86759,      1.59344, 0.005545  , 0.005545  , 0.005545
